Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs088,465.87,1308
ex6_2_6,83.69,59960
ex6_2_8,42.47,31660
ex6_2_9,33.39,21462
ex6_2_12,9.63,7762
ex8_4_4bis,114.15,78686
hs093,821.65,459370
ex6_2_10,786.89,330664
ex14_2_7,52.69,13082
ex6_1_3bis,10.96,11214
ex8_5_1bis,8.19,4588
hs102,3257.48,875284
hs103,1205.33,259530
dualc5,110.02,55072
dualc8,474.82,187958
ex2_1_9bis,100.26,74786
hs108,126.92,43416
mistake,1276.17,412864
ex2_1_9,12.76,5172
odfits,53.49,18052
hs113,19.88,4606
chem,2823.62,904788
chem-1,1826.65,904788
chembis,926.54,481538
ex6_1_3,136.72,16528
sambal,3171.46,495380
himmel16,43.11,4536
ex2_1_7,24.84,2428
ex2_1_8,16.02,1628
launch,6.27,150
