Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs088,497.54,1308
ex6_2_6,83.05,60432
ex6_2_8,44.09,31688
ex6_2_9,33.18,21462
ex6_2_12,9.8,7762
ex8_4_4bis,116.54,78702
hs093,783.51,464126
ex6_2_10,736.33,330888
ex14_2_7,45.77,11900
ex6_1_3bis,10.82,11214
ex8_5_1bis,7.16,4044
hs102,9086.92,891260
hs103,1117.68,254604
dualc5,108.05,54574
dualc8,464.27,188794
ex2_1_9bis,101.59,75180
hs108,118.92,36332
mistake,1408.96,428720
ex2_1_9,13.86,4978
odfits,62.34,18524
hs113,20.48,4916
chem,2513.02,903118
chem-1,1818.94,903118
chembis,937.07,485818
ex6_1_3,128.16,15548
sambal,2673.25,465608
himmel16,32.88,3764
ex2_1_7,23.93,2454
ex2_1_8,16.51,1578
launch,6.87,168
