Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs088,460.62,1302
ex6_2_6,86.29,60374
ex6_2_8,41.15,31830
ex6_2_9,31.69,21510
ex6_2_12,9.75,7756
ex8_4_4bis,104.25,77224
hs093,745.73,459918
ex6_2_10,679.65,330742
ex14_2_7,31.75,8520
ex6_1_3bis,10.29,11250
ex8_5_1bis,7.01,4030
hs102,2398.53,918738
hs103,1167.25,262716
dualc5,105.32,52406
dualc8,452.89,184084
ex2_1_9bis,94.77,75308
hs108,139.12,53076
mistake,1292.04,394746
ex2_1_9,14.86,5200
odfits,57.71,17836
hs113,23.5,5624
chem,2290.71,898928
chem-1,1824.67,898928
chembis,836.81,487970
ex6_1_3,120.63,15924
sambal,2595.73,513942
himmel16,39.88,5014
ex2_1_7,21.31,2456
ex2_1_8,17.22,1702
launch,5.22,144
