Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs088,468.92,1302
ex6_2_6,81.78,60074
ex6_2_8,42.95,31890
ex6_2_9,33.87,21386
ex6_2_12,10.04,7758
ex8_4_4bis,110.26,77360
hs093,684.61,381156
ex6_2_10,758.62,330688
ex14_2_7,46.85,11470
ex6_1_3bis,10.82,11250
ex8_5_1bis,7.97,4438
hs102,3370.37,921294
hs103,1267.9,261352
dualc5,107.56,53844
dualc8,477.73,189510
ex2_1_9bis,98.93,75252
hs108,104.51,38928
mistake,1523.99,410944
ex2_1_9,13.04,5034
odfits,50.39,17988
hs113,22.81,5618
chem,2981.03,908388
chem-1,1959.33,908388
chembis,927.08,483770
ex6_1_3,136.36,16570
sambal,3433.14,503178
himmel16,51.6,6886
ex2_1_7,20.63,2414
ex2_1_8,18.33,1638
launch,5.22,108
