Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs088,494.02,1302
ex6_2_6,87.49,60144
ex6_2_8,43.63,31718
ex6_2_9,32.36,21386
ex6_2_12,9.65,7758
ex8_4_4bis,116.13,78702
hs093,682.25,383128
ex6_2_10,770.02,331000
ex14_2_7,45.75,11966
ex6_1_3bis,10.49,11250
ex8_5_1bis,7.43,4158
hs102,2953.12,892080
hs103,1105.46,257024
dualc5,106.46,54082
dualc8,467.2,189302
ex2_1_9bis,100.46,75250
hs108,125.12,45144
mistake,1375.19,422104
ex2_1_9,13.23,5130
odfits,56.27,18392
hs113,19.9,4766
chem,2514.97,907156
chem-1,1836.49,907156
chembis,915.13,482736
ex6_1_3,118.5,16574
sambal,2661.96,472422
himmel16,46.74,5976
ex2_1_7,21.1,2370
ex2_1_8,16.96,1602
launch,7.67,168
