Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs102,2977.1440000000002,908608
sambal,2951.3779999999997,504022
chem,2600.058,905358
chem-1,1860.8380000000002,905358
mistake,1364.8200000000002,412859
hs103,1172.872,259011
chembis,887.878,482703
ex6_2_10,728.0260000000001,330823
hs093,700.154,402250
hs088,482.858,1309
dualc8,468.83599999999996,188028
ex6_1_3,122.644,16409
hs108,122.58800000000001,42975
ex8_4_4bis,111.74600000000001,77980
dualc5,107.14000000000001,53774
ex2_1_9bis,98.874,75136
ex6_2_6,85.572,60111
odfits,56.652,18168
himmel16,45.654,5634
ex14_2_7,42.296,10954
ex6_2_8,42.07,31740
ex6_2_9,33.397999999999996,21435
hs113,21.394,5153
ex2_1_7,21.346,2422
ex2_1_8,18.506,1700
ex2_1_9,13.674000000000001,5110
ex6_1_3bis,10.474,11250
ex6_2_12,9.83,7757
ex8_5_1bis,7.574,4248
launch,6.15,142
