Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs088,494.74,1302
ex6_2_6,82.73,59690
ex6_2_8,42.14,31638
ex6_2_9,33.66,21386
ex6_2_12,10.09,7758
ex8_4_4bis,113.8,78686
hs093,747.52,405130
ex6_2_10,759.86,330688
ex14_2_7,47.51,12308
ex6_1_3bis,10.53,11250
ex8_5_1bis,7.53,4124
hs102,3468.3,917500
hs103,1173.47,252666
dualc5,108.62,54474
dualc8,473.14,188482
ex2_1_9bis,99.22,74812
hs108,119.37,40168
mistake,1308.26,415712
ex2_1_9,13.77,5088
odfits,58.99,17844
hs113,19.93,4692
chem,2844.43,906978
chem-1,1841.49,906978
chembis,928.27,479520
ex6_1_3,130.31,17156
sambal,3331.57,525268
himmel16,48.37,5976
ex2_1_7,21.02,2310
ex2_1_8,20.77,1834
launch,5.96,150
