Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs102,3432.88,901419
sambal,3346.832,494009
chem,2976.92,905817
chem-1,2457.716,905817
mistake,1400.0040000000001,411747
hs103,1114.116,265398
chembis,1054.74,482584
ex6_2_10,814.452,330798
hs093,703.708,438485
dualc8,583.844,188511
hs088,477.77200000000005,1324
hs108,233.552,40596
ex2_1_9bis,165.99,74894
dualc5,128.366,54996
ex8_4_4bis,121.16000000000001,77980
ex6_1_3,116.79,16104
ex14_2_7,99.888,12764
ex6_2_6,89.338,60212
odfits,54.314,18116
ex6_2_8,43.232,31766
ex6_1_3bis,36.998000000000005,11214
ex6_2_9,34.303999999999995,21481
himmel16,27.107999999999997,3776
hs113,21.041999999999998,4913
ex8_5_1bis,20.932,4224
ex2_1_7,18.802,2441
ex2_1_8,15.501999999999999,1634
ex2_1_9,11.556000000000001,5161
ex6_2_12,10.8,7762
launch,10.468,649
