Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs088,497.21,1308
ex6_2_6,92.0,60294
ex6_2_8,43.17,31848
ex6_2_9,33.74,21462
ex6_2_12,10.75,7762
ex8_4_4bis,124.89,77224
hs093,646.58,432858
ex6_2_10,805.23,330888
ex14_2_7,135.35,14274
ex6_1_3bis,37.58,11214
ex8_5_1bis,16.31,4378
hs102,3437.03,909700
hs103,1071.81,263204
dualc5,128.94,54784
dualc8,578.33,186674
ex2_1_9bis,165.35,75118
hs108,207.03,37918
mistake,1335.41,408548
ex2_1_9,12.35,5214
odfits,53.62,18194
hs113,23.49,5472
chem,2744.63,909574
chem-1,2344.14,909574
chembis,1020.68,485818
ex6_1_3,118.7,15048
sambal,3171.1,511444
himmel16,31.47,4266
ex2_1_7,18.81,2402
ex2_1_8,15.77,1594
launch,5.37,144
