Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs088,489.39,1308
ex6_2_6,89.35,60258
ex6_2_8,42.12,31688
ex6_2_9,35.12,21462
ex6_2_12,10.81,7762
ex8_4_4bis,114.33,78702
hs093,743.09,443762
ex6_2_10,860.29,330888
ex14_2_7,108.81,14756
ex6_1_3bis,36.87,11214
ex8_5_1bis,21.77,3952
hs102,3351.22,915736
hs103,1045.49,260880
dualc5,128.59,54574
dualc8,587.53,188794
ex2_1_9bis,166.08,75180
hs108,273.02,36116
mistake,1405.56,428720
ex2_1_9,12.0,4978
odfits,54.65,18524
hs113,21.27,4916
chem,2745.93,903118
chem-1,2467.47,903118
chembis,1120.81,485818
ex6_1_3,120.45,15548
sambal,3380.28,465608
himmel16,26.76,3764
ex2_1_7,18.4,2454
ex2_1_8,14.57,1578
launch,6.14,168
