Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs088,465.27,1308
ex6_2_6,87.59,59960
ex6_2_8,43.31,31660
ex6_2_9,33.94,21462
ex6_2_12,10.74,7762
ex8_4_4bis,121.53,78686
hs093,758.52,459370
ex6_2_10,810.26,330664
ex14_2_7,94.39,13082
ex6_1_3bis,35.72,11214
ex8_5_1bis,25.13,4588
hs102,3310.82,875284
hs103,1165.41,257026
dualc5,129.03,55072
dualc8,575.67,187958
ex2_1_9bis,165.49,74786
hs108,243.76,43416
mistake,1370.2,406158
ex2_1_9,11.03,5172
odfits,55.29,18052
hs113,19.47,4606
chem,3415.22,904788
chem-1,2736.13,904788
chembis,1064.68,481538
ex6_1_3,121.84,16152
sambal,3216.31,495380
himmel16,23.67,3062
ex2_1_7,18.96,2428
ex2_1_8,14.97,1628
launch,5.96,150
