Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
sambal,3398.2699999999995,504022
hs102,3386.9199999999996,897572
chem,2965.4759999999997,905358
chem-1,2457.954,905358
mistake,1424.276,416195
hs103,1092.974,260266
chembis,1052.924,482703
ex6_2_10,816.1,330823
hs093,666.53,400823
dualc8,576.978,188028
hs088,465.562,1309
hs108,241.83,43318
ex2_1_9bis,164.592,75136
dualc5,124.492,53774
ex8_4_4bis,120.55,77980
ex6_1_3,113.10999999999999,16304
ex6_2_6,88.28,60111
ex14_2_7,82.97999999999999,11370
odfits,54.076,18168
ex6_2_8,42.884,31740
himmel16,38.148,5634
ex6_1_3bis,35.716,11250
ex6_2_9,34.2,21435
hs113,21.428,5196
ex8_5_1bis,20.119999999999997,4252
ex2_1_7,18.422,2414
ex2_1_8,16.869999999999997,1700
ex2_1_9,12.73,5110
ex6_2_12,10.506,7757
launch,4.57,142
