Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs088,465.08,1302
ex6_2_6,85.81,60144
ex6_2_8,41.58,31718
ex6_2_9,34.77,21386
ex6_2_12,10.52,7758
ex8_4_4bis,116.28,78702
hs093,674.15,383546
ex6_2_10,865.21,331000
ex14_2_7,85.51,11674
ex6_1_3bis,35.6,11250
ex8_5_1bis,22.62,4110
hs102,3413.56,892080
hs103,1035.61,261226
dualc5,125.89,54082
dualc8,571.04,189302
ex2_1_9bis,163.62,75250
hs108,315.83,45372
mistake,1392.69,416906
ex2_1_9,12.89,5130
odfits,53.86,18392
hs113,23.77,5784
chem,2753.74,907156
chem-1,2478.47,907156
chembis,1108.5,482736
ex6_1_3,106.4,15068
sambal,3395.98,472422
himmel16,39.65,5976
ex2_1_7,18.14,2370
ex2_1_8,16.64,1602
launch,5.54,168
