Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs088,470.9,1302
ex6_2_6,89.22,60074
ex6_2_8,44.41,31890
ex6_2_9,34.27,21386
ex6_2_12,10.27,7758
ex8_4_4bis,113.11,77360
hs093,680.14,391924
ex6_2_10,795.12,330688
ex14_2_7,106.25,15076
ex6_1_3bis,34.13,11250
ex8_5_1bis,23.58,4176
hs102,3531.81,913154
hs103,1138.1,258794
dualc5,124.27,53844
dualc8,565.23,189510
ex2_1_9bis,165.8,75252
hs108,174.05,38928
mistake,1447.35,407092
ex2_1_9,12.24,5034
odfits,56.02,17988
hs113,19.86,4816
chem,3216.68,908388
chem-1,2695.59,908388
chembis,1046.41,483770
ex6_1_3,124.87,17388
sambal,3244.97,503178
himmel16,45.38,6886
ex2_1_7,18.78,2414
ex2_1_8,15.48,1638
launch,4.17,108
