Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs088,476.55,1302
ex6_2_6,91.35,60374
ex6_2_8,42.64,31830
ex6_2_9,34.09,21510
ex6_2_12,10.27,7756
ex8_4_4bis,121.82,77224
hs093,674.03,459918
ex6_2_10,802.31,330742
ex14_2_7,65.92,8520
ex6_1_3bis,36.33,11250
ex8_5_1bis,15.04,4030
hs102,3379.7,885736
hs103,1076.19,263824
dualc5,121.55,52406
dualc8,576.38,184084
ex2_1_9bis,165.94,75308
hs108,241.39,54564
mistake,1354.22,394746
ex2_1_9,13.3,5200
odfits,52.46,17836
hs113,23.06,5624
chem,2686.29,898928
chem-1,2304.61,898928
chembis,1025.07,487970
ex6_1_3,95.28,15756
sambal,3190.56,513942
himmel16,34.92,5014
ex2_1_7,18.65,2456
ex2_1_8,15.77,1702
launch,4.09,144
