Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs088,449.38,1302
ex6_2_6,86.74,59690
ex6_2_8,43.69,31638
ex6_2_9,33.98,21386
ex6_2_12,10.63,7758
ex8_4_4bis,122.89,78686
hs093,667.69,386812
ex6_2_10,813.34,330688
ex14_2_7,76.36,11076
ex6_1_3bis,36.43,11250
ex8_5_1bis,23.47,4384
hs102,3370.34,914132
hs103,1155.28,256188
dualc5,124.54,54474
dualc8,560.29,188482
ex2_1_9bis,165.32,74812
hs108,231.34,40168
mistake,1386.74,415712
ex2_1_9,12.29,5088
odfits,55.38,17844
hs113,19.08,4692
chem,3413.33,906978
chem-1,2755.79,906978
chembis,1059.51,479520
ex6_1_3,122.64,17156
sambal,3431.63,525268
himmel16,39.13,5976
ex2_1_7,17.79,2310
ex2_1_8,19.07,1834
launch,5.46,150
