Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs088,485.65,1308
ex6_2_6,92.0,60294
ex6_2_8,44.29,31848
ex6_2_9,33.5,21558
ex6_2_12,10.67,7762
ex8_4_4bis,121.58,77224
hs093,646.61,432858
ex6_2_10,806.07,330888
ex14_2_7,85.62,10488
ex6_1_3bis,40.2,11214
ex8_5_1bis,17.9,4378
hs102,3440.85,909210
hs103,1085.0,263204
dualc5,125.97,54784
dualc8,582.16,186674
ex2_1_9bis,165.95,75118
hs108,192.59,38234
mistake,1373.5,415864
ex2_1_9,13.04,5214
odfits,53.37,18194
hs113,22.73,5472
chem,2716.88,909574
chem-1,2328.93,909574
chembis,1016.5,485818
ex6_1_3,109.85,18180
sambal,3202.73,511444
himmel16,31.98,4442
ex2_1_7,18.37,2402
ex2_1_8,16.86,1594
launch,5.19,144
