Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs102,3473.62,896318
sambal,3353.33,494009
chem,2963.94,905817
chem-1,2466.59,905817
mistake,1407.2,414342
hs103,1100.5,259586
chembis,1054.7,482584
ex6_2_10,815.78,330798
hs093,697.92,434719
dualc8,590.7,188511
hs088,467.76,1324
hs108,241.28,41734
ex2_1_9bis,167.39,74894
dualc5,127.58,54996
ex8_4_4bis,121.27,77980
ex6_1_3,117.03,16982
ex6_2_6,88.97,60247
ex14_2_7,85.9,11558
odfits,54.34,18116
ex6_2_8,43.18,31766
ex6_1_3bis,36.41,11214
ex6_2_9,34.25,21500
himmel16,29.23,4116
hs113,22.19,5224
ex8_5_1bis,20.86,4228
ex2_1_7,18.93,2441
ex2_1_8,15.66,1634
ex2_1_9,13.0,5161
ex6_2_12,10.8,7762
launch,10.52,649
