Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs088,440.19,1308
ex6_2_6,86.19,59960
ex6_2_8,42.97,31660
ex6_2_9,34.23,21462
ex6_2_12,10.81,7762
ex8_4_4bis,120.48,78686
hs093,742.45,451820
ex6_2_10,810.87,330664
ex14_2_7,82.15,11436
ex6_1_3bis,35.26,11214
ex8_5_1bis,24.19,4376
hs102,3400.14,875284
hs103,1140.12,249086
dualc5,129.58,55072
dualc8,577.51,187958
ex2_1_9bis,167.63,74786
hs108,283.07,46650
mistake,1398.59,416946
ex2_1_9,13.29,5172
odfits,55.51,18052
hs113,22.96,5450
chem,3406.0,904788
chem-1,2777.01,904788
chembis,1065.62,481538
ex6_1_3,121.83,16528
sambal,3236.19,495380
himmel16,31.91,4536
ex2_1_7,18.8,2428
ex2_1_8,15.07,1628
launch,6.19,150
