Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs088,478.73,1308
ex6_2_6,87.8,60432
ex6_2_8,42.14,31688
ex6_2_9,35.09,21462
ex6_2_12,10.68,7762
ex8_4_4bis,117.91,78702
hs093,741.11,443762
ex6_2_10,859.81,330888
ex14_2_7,108.67,14756
ex6_1_3bis,37.66,11214
ex8_5_1bis,21.87,4062
hs102,3417.17,891260
hs103,1067.8,260970
dualc5,129.49,54574
dualc8,586.31,188794
ex2_1_9bis,169.25,75180
hs108,279.98,36332
mistake,1375.88,418698
ex2_1_9,12.66,4978
odfits,53.3,18524
hs113,22.24,5272
chem,2748.72,903118
chem-1,2475.52,903118
chembis,1121.52,485818
ex6_1_3,125.93,17070
sambal,3370.44,465608
himmel16,27.33,3764
ex2_1_7,18.84,2454
ex2_1_8,14.46,1578
launch,6.26,168
