Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs088,450.76,1308
ex6_2_6,89.6,60258
ex6_2_8,44.51,31838
ex6_2_9,34.07,21462
ex6_2_12,10.7,7762
ex8_4_4bis,115.71,77360
hs093,693.5,403838
ex6_2_10,794.85,330664
ex14_2_7,80.15,11662
ex6_1_3bis,34.78,11214
ex8_5_1bis,21.84,3748
hs102,3643.01,907064
hs103,1153.8,253530
dualc5,124.16,54198
dualc8,596.45,189586
ex2_1_9bis,167.32,74716
hs108,207.15,43518
mistake,1485.58,408496
ex2_1_9,12.33,5178
odfits,55.54,17798
hs113,21.66,5146
chem,3209.62,904954
chem-1,2698.56,904954
chembis,1042.77,478210
ex6_1_3,105.99,17226
sambal,3186.78,487744
himmel16,26.63,3816
ex2_1_7,19.73,2500
ex2_1_8,14.93,1600
launch,5.11,108
