Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs088,525.59,1388
ex6_2_6,92.73,60294
ex6_2_8,45.52,31798
ex6_2_9,33.02,21558
ex6_2_12,10.12,7762
ex8_4_4bis,111.12,77932
hs093,735.37,459770
ex6_2_10,679.6,330888
ex14_2_7,36.23,9452
ex6_1_3bis,11.48,11214
ex8_5_1bis,7.02,3882
hs102,2764.26,903738
hs103,1168.65,274058
dualc5,106.95,53296
dualc8,476.25,187572
ex2_1_9bis,103.76,74724
hs108,136.71,44098
mistake,1411.86,424320
ex2_1_9,11.76,5246
odfits,58.84,18064
hs113,22.05,5280
chem,2351.44,902374
chem-1,1827.35,902374
chembis,838.79,480316
ex6_1_3,127.03,15908
sambal,2866.94,536118
himmel16,35.32,3884
ex2_1_7,20.99,2504
ex2_1_8,18.14,1706
launch,34.79,2676
