Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs088,495.72,1308
ex6_2_6,83.99,59960
ex6_2_8,42.87,31776
ex6_2_9,31.97,21462
ex6_2_12,10.96,7762
ex8_4_4bis,118.69,78686
hs093,711.35,386588
ex6_2_10,743.0,330664
ex14_2_7,44.84,11436
ex6_1_3bis,11.62,11214
ex8_5_1bis,7.77,4376
hs102,3310.93,898478
hs103,1152.45,242288
dualc5,117.41,56356
dualc8,18.29,187588
ex2_1_9bis,99.06,74828
hs108,126.91,43416
mistake,1255.73,408260
ex2_1_9,14.13,5172
odfits,56.79,17930
hs113,20.98,4770
chem,2828.14,906304
chem-1,1843.07,906304
chembis,929.66,480316
ex6_1_3,120.1,18626
sambal,3159.01,490976
himmel16,41.29,4536
ex2_1_7,23.46,2470
ex2_1_8,16.02,1622
launch,12.61,422
