Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs088,511.32,1308
ex6_2_6,83.53,60244
ex6_2_8,41.24,31688
ex6_2_9,32.93,21462
ex6_2_12,10.02,7762
ex8_4_4bis,113.38,78702
hs093,784.09,447966
ex6_2_10,786.51,330888
ex14_2_7,59.68,14580
ex6_1_3bis,11.54,11214
ex8_5_1bis,7.38,4062
hs102,3020.57,898552
hs103,1132.36,263068
dualc5,108.89,54604
dualc8,466.41,187020
ex2_1_9bis,102.33,75142
hs108,120.21,36332
mistake,1373.16,416718
ex2_1_9,13.95,4978
odfits,59.0,18312
hs113,22.7,5394
chem,2506.94,902116
chem-1,1823.2,902116
chembis,938.27,483702
ex6_1_3,127.17,17070
sambal,2823.01,497198
himmel16,36.93,3764
ex2_1_7,22.28,2430
ex2_1_8,16.46,1578
launch,6.54,168
