Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs088,429.76,1308
ex6_2_6,84.22,60258
ex6_2_8,41.28,31832
ex6_2_9,33.41,21462
ex6_2_12,11.7,7762
ex8_4_4bis,106.93,77360
hs093,753.98,446166
ex6_2_10,752.03,330664
ex14_2_7,47.1,12034
ex6_1_3bis,11.56,11214
ex8_5_1bis,6.34,3794
hs102,3491.82,944116
hs103,1187.44,253046
dualc5,116.59,54842
dualc8,473.04,190924
ex2_1_9bis,94.71,74892
hs108,135.94,43060
mistake,1551.31,406448
ex2_1_9,12.0,5120
odfits,57.1,18224
hs113,25.84,5330
chem,3002.26,904904
chem-1,1966.75,904904
chembis,922.21,479008
ex6_1_3,117.06,14904
sambal,3707.65,536908
himmel16,27.31,3764
ex2_1_7,22.41,2556
ex2_1_8,19.47,1600
launch,4.49,108
