Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs088,470.41,1308
ex6_2_6,84.82,60294
ex6_2_8,40.07,31816
ex6_2_9,32.97,21558
ex6_2_12,10.0,7762
ex8_4_4bis,109.55,77224
hs093,717.53,442512
ex6_2_10,678.86,330888
ex14_2_7,41.51,10784
ex6_1_3bis,11.45,11214
ex8_5_1bis,7.67,4378
hs102,2414.84,932944
hs103,1228.05,261714
dualc5,107.95,54908
dualc8,478.64,189096
ex2_1_9bis,97.68,74756
hs108,177.52,36918
mistake,1275.06,413062
ex2_1_9,11.47,5234
odfits,60.64,18100
hs113,24.47,5720
chem,2309.48,901682
chem-1,1834.66,901682
chembis,838.79,480316
ex6_1_3,129.21,15048
sambal,2540.47,511558
himmel16,38.59,4442
ex2_1_7,22.37,2484
ex2_1_8,20.19,1706
launch,5.5,144
