Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
sambal,3019.42,514551
hs102,3000.48,915565
chem,2599.65,903476
chem-1,1859.01,903476
mistake,1373.42,413761
hs103,1173.79,258834
chembis,893.54,480731
hs093,740.46,436600
ex6_2_10,728.0,330798
hs088,486.56,1324
dualc8,382.53,188440
hs108,139.46,40764
ex6_1_3,124.11,16311
ex8_4_4bis,111.93,77980
dualc5,111.56,54801
ex2_1_9bis,99.51,74868
ex6_2_6,85.86,60210
odfits,58.47,18126
ex14_2_7,45.87,11657
ex6_2_8,42.2,31782
himmel16,35.89,4078
ex6_2_9,32.86,21500
hs113,23.21,5298
ex2_1_7,22.3,2488
ex2_1_8,18.06,1642
launch,12.79,703
ex2_1_9,12.66,5150
ex6_1_3bis,11.53,11214
ex6_2_12,10.56,7762
ex8_5_1bis,7.24,4098
