Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs102,3777.38,907170
sambal,3426.91,504022
chem-1,3055.47,905358
chem,3018.7,905358
mistake,1537.27,418752
chembis,1186.32,482703
hs103,1153.81,258822
ex6_2_10,773.93,330823
hs093,688.16,405746
dualc8,543.93,188028
hs088,464.05,1309
ex2_1_9bis,163.19,75136
hs108,160.91,42790
dualc5,116.79,53774
ex6_1_3,115.2,16004
ex8_4_4bis,113.54,77980
ex6_2_6,83.14,60111
ex14_2_7,76.84,11258
odfits,56.52,18168
himmel16,40.76,5634
ex6_2_8,40.39,31740
ex6_2_9,30.91,21435
hs113,22.13,5368
ex2_1_7,21.89,2414
ex6_1_3bis,19.6,11250
ex2_1_8,18.63,1700
ex8_5_1bis,12.08,4215
ex2_1_9,10.05,5110
ex6_2_12,9.5,7757
launch,5.93,142
