Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs088,517.36,1338
ex6_2_6,85.5,60276
ex6_2_8,39.74,31628
ex6_2_9,30.39,21510
ex6_2_12,9.65,7756
ex8_4_4bis,113.37,77932
hs093,627.31,381918
ex6_2_10,756.01,331000
ex14_2_7,85.34,12320
ex6_1_3bis,20.06,11250
ex8_5_1bis,12.65,4490
hs102,3771.7,893430
hs103,1137.7,258284
dualc5,118.84,54068
dualc8,537.63,188766
ex2_1_9bis,156.69,75058
hs108,151.03,37708
mistake,1606.34,420792
ex2_1_9,11.09,5100
odfits,58.92,18784
hs113,21.14,5080
chem,3090.48,905344
chem-1,3090.28,905344
chembis,1062.89,479520
ex6_1_3,118.53,16152
sambal,3545.41,505302
himmel16,36.47,4322
ex2_1_7,22.59,2524
ex2_1_8,20.69,1728
launch,4.58,142
