Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs088,468.71,1302
ex6_2_6,84.52,59690
ex6_2_8,39.94,31638
ex6_2_9,31.15,21386
ex6_2_12,9.41,7758
ex8_4_4bis,113.91,78686
hs093,710.09,405130
ex6_2_10,789.35,330688
ex14_2_7,83.95,12308
ex6_1_3bis,20.15,11250
ex8_5_1bis,12.59,4124
hs102,3937.82,917500
hs103,1169.43,256188
dualc5,118.27,54474
dualc8,555.01,188482
ex2_1_9bis,169.42,74812
hs108,153.51,40866
mistake,1599.53,441296
ex2_1_9,8.66,5088
odfits,52.99,17844
hs113,21.54,5390
chem,2988.2,906978
chem-1,3109.28,906978
chembis,1266.16,479520
ex6_1_3,128.28,17156
sambal,3556.03,525268
himmel16,40.22,5976
ex2_1_7,19.66,2310
ex2_1_8,20.52,1834
launch,6.61,150
