Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs088,425.29,1302
ex6_2_6,82.94,60374
ex6_2_8,40.37,31830
ex6_2_9,30.61,21510
ex6_2_12,9.14,7756
ex8_4_4bis,111.1,77224
hs093,710.27,460178
ex6_2_10,765.31,330742
ex14_2_7,56.86,8520
ex6_1_3bis,18.6,11250
ex8_5_1bis,11.44,4244
hs102,3507.46,885736
hs103,1157.13,263824
dualc5,113.61,52406
dualc8,528.17,184084
ex2_1_9bis,162.63,75308
hs108,184.13,54564
mistake,1534.32,416330
ex2_1_9,12.44,5200
odfits,57.57,17836
hs113,23.14,5624
chem,3013.17,898928
chem-1,2995.33,898928
chembis,1000.4,487970
ex6_1_3,108.57,15756
sambal,3482.44,513942
himmel16,37.07,5014
ex2_1_7,22.7,2456
ex2_1_8,17.69,1702
launch,6.74,144
