Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs088,482.79,1302
ex6_2_6,82.29,60144
ex6_2_8,39.36,31718
ex6_2_9,30.19,21386
ex6_2_12,9.84,7758
ex8_4_4bis,113.4,78702
hs093,695.56,383128
ex6_2_10,775.35,331000
ex14_2_7,76.85,11674
ex6_1_3bis,19.1,11250
ex8_5_1bis,12.38,4158
hs102,3834.38,917892
hs103,1097.28,257024
dualc5,115.83,54082
dualc8,559.18,189302
ex2_1_9bis,165.13,75250
hs108,178.29,45372
mistake,1501.79,404402
ex2_1_9,10.25,5130
odfits,58.11,18392
hs113,20.37,5132
chem,3032.1,907156
chem-1,3054.33,907156
chembis,1053.14,482736
ex6_1_3,108.19,15068
sambal,3206.63,472422
himmel16,42.52,5976
ex2_1_7,21.34,2370
ex2_1_8,15.7,1602
launch,6.5,168
