Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs088,426.1,1302
ex6_2_6,80.43,60074
ex6_2_8,42.56,31890
ex6_2_9,32.22,21386
ex6_2_12,9.46,7758
ex8_4_4bis,115.93,77360
hs093,697.57,398380
ex6_2_10,783.64,330688
ex14_2_7,81.19,11470
ex6_1_3bis,20.07,11250
ex8_5_1bis,11.36,4060
hs102,3835.56,921294
hs103,1207.5,258794
dualc5,117.41,53844
dualc8,539.65,189510
ex2_1_9bis,162.1,75252
hs108,137.58,35442
mistake,1444.37,410944
ex2_1_9,7.8,5034
odfits,55.02,17988
hs113,24.44,5618
chem,2969.55,908388
chem-1,3028.12,908388
chembis,1548.99,483770
ex6_1_3,112.41,15892
sambal,3344.03,503178
himmel16,47.51,6886
ex2_1_7,23.17,2414
ex2_1_8,18.55,1638
launch,5.21,108
